KSigma W: 1.925 Ebeam: 12
Q2 	 CS
11.08	0.00425335
11.09	0.00423217
11.1	0.00421097
11.11	0.00419736
11.12	0.00418378
11.13	0.00417024
11.14	0.00415673
11.15	0.00414326
11.16	0.00412847
11.17	0.00411367
11.18	0.00409884
11.19	0.00408398
11.2	0.0040691
11.21	0.00405885
11.22	0.00404862
11.23	0.00403842
11.24	0.00402825
11.25	0.0040181
11.26	0.00400596
11.27	0.00399381
11.28	0.00398165
11.29	0.00396946
11.3	0.00395727
11.31	0.00394128
11.32	0.00392532
11.33	0.00390939
11.34	0.00389348
11.35	0.0038776
11.36	0.0038685
11.37	0.00385938
11.38	0.00385024
11.39	0.00384107
11.4	0.00383188
11.41	0.00381603
11.42	0.00380021
11.43	0.00378441
11.44	0.00376864
11.45	0.00375289
11.46	0.00375223
11.47	0.00375156
11.48	0.0037509
11.49	0.00375024
11.5	0.00374958
11.51	0.00372532
11.52	0.00370106
11.53	0.0036768
11.54	0.00365253
11.55	0.00362827
11.56	0.00362762
11.57	0.00362697
11.58	0.00362632
11.59	0.00362567
11.6	0.00362503
11.61	0.00360076
11.62	0.0035765
11.63	0.00355223
11.64	0.00352797
11.65	0.0035037
11.66	0.00350306
11.67	0.00350242
11.68	0.00350178
11.69	0.00350115
11.7	0.00350051
11.71	0.00348809
11.72	0.0034757
11.73	0.00346334
11.74	0.00345103
11.75	0.00343874
11.76	0.00342626
11.77	0.00341376
11.78	0.00340121
11.79	0.00338863
11.8	0.00337602
11.81	0.00336377
11.82	0.00335155
11.83	0.00333937
11.84	0.00332722
11.85	0.00331511
11.86	0.00331155
11.87	0.00330798
11.88	0.00330441
11.89	0.00330082
11.9	0.00329723
11.91	0.00327607
11.92	0.00325491
11.93	0.00323375
11.94	0.00321261
11.95	0.00319147
11.96	0.00319094
11.97	0.00319042
11.98	0.0031899
11.99	0.00318938
12	0.00318886
