KLambda W: 1.925 Ebeam: 12
Q2 	 CS
11.79	0.00889393
11.8	0.00886795
11.81	0.00884508
11.82	0.00882222
11.83	0.00879938
11.84	0.00877654
11.85	0.00875371
11.86	0.00872776
11.87	0.0087018
11.88	0.00867584
11.89	0.00864989
11.9	0.00862393
11.91	0.00859798
11.92	0.00857202
11.93	0.00854607
11.94	0.00852012
11.95	0.00849416
11.96	0.00846821
11.97	0.00844225
11.98	0.0084163
11.99	0.00839035
12	0.00836439
